"Record ID","Nome do negócio","Valor na moeda da empresa","Etapa do negócio","Data de fechamento","Pipeline"
"6694150260","Aurora Alimentos","562721.4","Negócio perdido","2021-10-31 13:08","Enterprise - Macfor Dealflow"
"6633359955","Myra","179238","Negócio perdido","2022-04-20 12:08","Enterprise - Macfor Dealflow"
"5902794385","Apsen Farmacêutica - Quintal Dev 30%","15488.68","Cliente","2021-09-10 19:19","Enterprise - Macfor Dealflow"
"5838111343","Neogrid","928021.56","Negócio perdido","2022-08-10 13:42","Enterprise - Macfor Dealflow"
"5721626449","Eurochem - Fertilizantes Tocantins","317610.12","Negócio perdido","2022-03-11 17:00","Enterprise - Macfor Dealflow"
"5692550038","Inmetrics","144000","Cliente","2021-10-18 15:21","Enterprise - Macfor Dealflow"
"5616367132","Lumen Technologies","804696.8","Negócio perdido","","Enterprise - Macfor Dealflow"
"5557094673","Delivery Center","","Negócio perdido","2021-08-23 12:17","Enterprise - Macfor Dealflow"
"5536620117","Eurofarma - Genéricos","53796.6","Negócio perdido","2021-08-31 12:10","Enterprise - Macfor Dealflow"
"5417136532","Nissin Foods","128898.71","Negócio perdido","2021-08-09 11:37","Enterprise - Macfor Dealflow"
"5381991819","Ottobock","251055.6","Negócio perdido","2021-09-22 14:02","Enterprise - Macfor Dealflow"
"5359330094","Eurofarma - MAQ","296439.72","Negócio perdido","2022-03-11 17:03","Enterprise - Macfor Dealflow"
"5358144081","Alterdata Software","194676","Negócio perdido","2022-03-16 16:39","Enterprise - Macfor Dealflow"
"5346264983","MRS Logistica","238082.76","Negócio perdido","2022-03-11 17:02","Enterprise - Macfor Dealflow"
"5293157493","Panasonic","1021110.12","Negócio perdido","2022-02-15 15:08","Enterprise - Macfor Dealflow"
"5239041433","Syngenta - Plano Culturas","187500","Cliente","2021-06-21 14:25","Enterprise - Macfor Dealflow"
"5220031161","Lojas Benoit","201000","Negócio perdido","2021-06-21 11:06","Enterprise - Macfor Dealflow"
"5192868276","CAT PESA","18404.4","Negócio perdido","2021-06-01 16:08","Enterprise - Macfor Dealflow"
"5129855612","Eurofarma - Moviment C","436085.8","Cliente","2021-06-18 11:17","Enterprise - Macfor Dealflow"
"5127424545","Syngenta - Portal Unbranded","3084000","Negócio perdido","2022-02-14 15:14","Enterprise - Macfor Dealflow"
"5110682725","Assurant","233431.8","Negócio perdido","2022-03-11 17:01","Enterprise - Macfor Dealflow"
"5043158529","Cocamar","183483.72","Cliente","2021-07-27 12:40","Enterprise - Macfor Dealflow"
"4985313037","Santa Helena Indústria de Alimentos S/A","227936.16","Negócio perdido","2021-05-31 12:47","Enterprise - Macfor Dealflow"
"4790799739","Cartão de Todos","138925.43","Negócio perdido","2021-06-18 19:39","Enterprise - Macfor Dealflow"
"4791125254","Mart Minas","793482.72","Cliente","2021-09-22 19:59","Enterprise - Macfor Dealflow"
"4697563018","UOL Ads (40% Inside Sales)","67200","Negócio perdido","2021-08-23 14:50","Enterprise - Macfor Dealflow"
"4668934210","Eurofarma - Perlatte","276000","Negócio perdido","2021-07-15 12:10","Enterprise - Macfor Dealflow"
"4610928009","Amaggi ","384438","Negócio perdido","2022-02-15 15:08","Enterprise - Macfor Dealflow"
"4610570597","Eurofarma - Fortice","11000","Cliente","2021-04-08 14:52","Enterprise - Macfor Dealflow"
"4577929902","Evonik - Novo negócio","354988.44","Negócio perdido","2021-04-27 11:33","Enterprise - Macfor Dealflow"
"4269224969","Stoller - Renovação","174000","Cliente","2021-05-07 09:26","Enterprise - Macfor Dealflow"
"4181316962","DENSO - Concorrência","166324.2","Negócio perdido","2021-05-12 17:10","Enterprise - Macfor Dealflow"
"4169278268","Denso - Criação KV","12770.3","Negócio perdido","2021-03-29 17:22","Enterprise - Macfor Dealflow"
"4127018290","Cargill - Vídeos LatAm","85138.57","Negócio perdido","2021-03-18 21:53","Enterprise - Macfor Dealflow"
"4120219333","Barry Callebaut - Dashboards","40139.28","Negócio perdido","2021-03-18 21:51","Enterprise - Macfor Dealflow"
"4076605269","Apsen - Concorrência Digital","1704000","Cliente","2021-05-27 17:08","Enterprise - Macfor Dealflow"
"4059518702","Esmaltec Eletrodomésticos","101000","Negócio perdido","2021-06-09 22:01","Enterprise - Macfor Dealflow"
"4026644143","Bunge Profissional - Bid (75% FM)","296715.06","Cliente","2021-05-06 15:45","Enterprise - Macfor Dealflow"
"4014966192","Eurofarma - AltaD","7286","Cliente","2021-03-29 21:21","Enterprise - Macfor Dealflow"
